Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
bc9b6380-e137-42f9-acb3-37c4fee49393,0.4110374968709101,100,4,12,16,0,9,2,1,56,0.7,0.73
2e371ed4-d522-4a38-9012-fefb87ac0a43,0.41640058167193134,100,2,19,24,3,6,1,1,44,0.67,0.72
f9e6bc86-a8cb-46f6-adde-ba04d58943e4,0.42280608321200813,100,1,19,9,1,5,3,1,61,0.84,0.72
5d94b303-8841-4bba-9705-d270c5fe6a57,0.43556616812811605,100,1,19,13,2,9,3,1,52,0.76,0.68
9e3082e2-03b7-42c0-a38c-cce6f4aad208,0.4358922637080342,100,2,20,10,0,3,2,2,61,0.83,0.73
afef44a7-a60f-4e81-b0df-b652869216f3,0.44230286538138675,100,0,21,13,2,5,6,0,53,0.82,0.68
26fdb7f9-f7e2-499c-874f-9f9ffa7beb14,0.45129132488087315,100,2,27,8,4,7,6,1,45,0.82,0.58
13b1d26b-7c7a-433f-aae1-e34976b58ba0,0.45805934081502586,100,1,19,12,3,11,5,0,49,0.76,0.64
84c4d844-95cf-4147-9a3c-beb8f9a05d86,0.4682712968230257,100,1,21,8,1,8,5,1,55,0.82,0.65
866d0c5a-1fa1-4dc5-adc5-bc61fe48d818,0.4731715238958305,100,3,25,11,4,7,2,1,47,0.78,0.63
897e8050-984e-4813-bda2-0cf6ce9f36d4,0.49082646331965607,100,1,20,11,0,7,2,4,55,0.77,0.7
971bff02-45e4-43db-b941-c7db90f8117d,0.5279089595937945,100,2,26,6,2,5,5,1,53,0.86,0.62
fdc3a48f-86b3-4cdd-b811-c3ff7d251af1,0.5342011475291274,100,3,27,5,4,2,3,2,54,0.88,0.65
47ea9449-a2c9-477a-a604-7203f3aa9e23,0.5376716269731104,100,4,20,9,3,7,4,1,52,0.79,0.65
ad35cadf-6624-4b84-8dc4-4c5ff98b6c68,0.5392101351973612,100,2,20,10,1,7,2,3,55,0.78,0.69
9e0bd654-0ecb-4129-8445-d0ac764a2304,0.544212000577575,100,4,24,8,0,5,2,2,55,0.81,0.65
af586db5-a827-4e2f-ad4b-e0f3b459b00c,0.5500033033896148,100,5,18,13,6,5,4,5,44,0.72,0.68
b43a34e1-788d-4299-8794-2214e05ab902,0.5674600576779375,100,5,35,8,3,3,1,1,44,0.83,0.56
