Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
afe5c766-4863-4495-b0d0-899c2e43fb25,0.015708336285721863,100,0,0,48,0,0,0,0,52,0.52,1.0
4fe67ba0-ae45-4a67-9945-dbe7c92f3367,0.02053893773266638,100,0,0,48,0,0,0,0,52,0.52,1.0
0fa286c6-38b8-456e-be09-b70f3afcaf83,0.13145267739990815,100,0,1,36,0,1,0,0,62,0.63,0.98
1cd0366b-655b-440e-b502-c964e9ede20b,0.19271207453201866,100,0,3,30,0,1,0,0,66,0.69,0.96
4f4860ab-45f2-4d9b-a07d-93a9e8a8ad4a,0.2677528924649093,100,0,5,23,0,2,0,0,70,0.75,0.93
c328440d-5d7d-4187-ae38-e521881bac4f,0.2725024700461507,100,0,5,22,0,2,0,0,70,0.75,0.92
b3938bb8-570e-4ca5-bdbf-30cec16ad5d0,0.27469061000103057,100,0,6,22,0,2,0,0,71,0.77,0.93
7cff4e48-c650-4a13-bfc1-6cb7f5621a53,0.46668590632891493,100,0,18,8,0,2,0,0,72,0.9,0.8
667230a2-de27-490a-9314-d95b6e30ffe5,0.5985273437996574,100,0,31,2,0,1,0,0,66,0.97,0.68
c85a46a3-6ca1-4379-b9e1-bf429c676578,0.6236572480819808,100,0,33,2,0,1,0,0,64,0.97,0.66
