Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
6a6d59f6-57af-4239-858f-8be1f0531c74,0.3383472374336265,100,1,27,3,4,54,8,1,2,0.59,0.9
d7b2d81b-64a3-4566-b86d-28bf3a62197a,0.3612373454350422,100,6,25,2,6,53,3,3,2,0.64,0.87
a00c37f1-8c25-4c65-80e8-5d315003e81c,0.3680613281500507,100,6,22,6,0,54,3,4,5,0.7,0.85
174753bf-bb85-43ae-9b69-5526fba86d50,0.3754871692925937,100,3,22,7,3,59,1,3,2,0.72,0.85
9705d31d-06d2-4c17-a9db-96bbf78c74b9,0.3856505009500531,100,4,24,5,1,55,3,5,3,0.69,0.86
add67471-ac10-4cb4-b864-c2fcb1de365a,0.387395080066974,100,6,25,2,3,58,2,2,2,0.68,0.91
c7085d21-6a24-4209-b7cf-ff0a4c1c4e0a,0.3889647368655854,100,5,23,8,2,57,2,2,1,0.72,0.87
3f769d44-07c0-4b5d-8d7e-73feb3c9c851,0.3987974699691155,100,3,27,6,4,54,3,1,2,0.64,0.87
7ed363ba-e4ae-4fb4-b1f7-7f7bf771d424,0.4003471034842301,100,6,22,5,2,51,5,4,5,0.66,0.84
143e2854-533a-4d78-9cea-01608f56cc0e,0.4280008685147802,100,6,18,8,2,57,1,3,5,0.74,0.82
4010329c-24be-4651-9ffc-48ab7521a514,0.4299795127443198,100,6,14,10,2,60,3,5,0,0.81,0.83
11d7d334-1a9b-4007-b19a-5b2c89d78f15,0.4381131784502202,100,3,24,6,4,52,6,3,2,0.64,0.85
5fc16f13-7009-420f-94c4-3717da8aac11,0.4623766947220875,100,3,13,13,0,63,5,3,0,0.82,0.84
396470dd-2aa9-48f3-8178-2b725bae7d4c,0.4708963139630989,100,4,16,13,3,51,2,6,5,0.74,0.73
dabaf99d-9ae1-4909-b580-2ec05432a72d,0.477189372313796,100,6,19,9,4,58,2,0,2,0.73,0.85
7bd2853f-c257-4160-885b-2ac2b7cc12a8,0.4852618275222026,100,5,17,5,3,56,7,4,3,0.7,0.85
02e9a83b-f122-4748-9772-016d99d2a6fe,0.4953789425219007,100,2,14,10,6,54,4,5,5,0.71,0.74
958f8b4e-9053-459c-a5f2-513359c42a40,0.5038790649306405,100,4,13,19,4,57,1,2,0,0.82,0.75
c7eaf4b4-5c5f-4228-9d96-798a657efa62,0.5165069925336846,100,4,11,16,4,53,2,3,7,0.76,0.7
fa6b2dc4-4e46-46e5-8443-4edcbc53bde5,0.5187607569501539,100,6,14,15,0,52,3,5,5,0.78,0.75
31e75bfd-d34f-45ea-b311-9840712546fc,0.5222170098534843,100,4,19,25,1,48,0,2,1,0.79,0.71
55b671c8-5c29-41bd-8b37-65c694660dfb,0.5241838207119955,100,6,17,12,2,52,4,3,4,0.73,0.79
ff636b2f-ba0d-4bca-ad8f-91889f2f48cf,0.5477139566025873,100,5,17,16,3,50,3,4,2,0.75,0.75
dd417af5-fa1d-4fc9-8fe3-d72fbace7701,0.5576502296704015,100,7,11,22,2,52,3,0,3,0.81,0.73
c80a95bc-011e-43ec-a07c-d46577c9a581,0.5783193794624395,100,4,6,35,1,46,5,1,2,0.86,0.61
7d132e60-fba8-4e39-a31d-86dcc5c94510,0.5865669321678851,100,3,6,35,5,43,5,1,2,0.82,0.57
b38bb84e-7cfc-403b-91fa-9e8785839c95,0.623435426302948,100,2,10,41,0,41,2,2,2,0.86,0.55
0d641525-66f0-4bdc-afe6-282b9e3d5b94,0.6247873051309492,100,8,0,39,1,46,4,2,0,0.95,0.58
b3b5e74d-e479-48ba-bff6-ed66b8aa510e,0.6260695479194157,100,6,7,37,2,40,4,1,3,0.84,0.57
b5f65ab4-d269-452c-a19f-8f0dac1748a2,0.6283462525541015,100,4,3,39,1,45,0,4,4,0.92,0.52
d020154c-cc44-4483-ba1e-9220ff7b6f8d,0.6322524477401349,100,5,6,49,2,33,3,2,0,0.89,0.47
a5884ae1-8c8c-47c4-ad7d-70094870ee7a,0.6411755287668798,100,6,4,44,2,34,6,2,2,0.86,0.5
f7893e59-dfaa-4f64-a758-5c2ed1ed7490,0.6424762579101037,100,7,2,40,5,36,6,2,2,0.85,0.51
2b986e22-5ed7-4d53-ae57-0e6186b86cd0,0.6433523598179084,100,6,6,44,1,36,1,3,3,0.89,0.49
4cb06251-55a5-47fc-ae22-b1ac02e1a252,0.6467085025678683,100,2,4,42,3,42,1,5,1,0.91,0.49
8cd604da-6ced-4b35-85b9-c7e319b906f6,0.6574759471152065,100,6,3,48,4,30,6,1,2,0.85,0.45
28a01915-2cde-4dd5-8b73-d98194e3dd84,0.6630156986824027,100,5,3,48,0,36,5,1,2,0.9,0.49
5d3b24e5-8640-449e-b558-81f12850fd2a,0.6654705671843502,100,3,4,45,1,40,2,3,2,0.91,0.49
18d2505e-d1ee-416b-a692-93df2477176c,0.6658852218726339,100,5,7,46,2,37,1,0,2,0.88,0.5
e5d9532f-e838-46a5-b1c2-0d663ee34184,0.6785766245284847,100,1,5,55,4,32,1,1,1,0.89,0.39
4fa6b547-aaaf-4268-bc86-f3ebe8c68cdb,0.6866013394444783,100,8,5,43,5,36,2,1,0,0.88,0.51
e23715bf-5045-4b35-a97f-30ee3197f9a2,0.702852102274309,100,5,2,52,2,28,3,2,6,0.87,0.38
fc63beff-c1a4-4787-887d-e7eb5bf53aa8,0.7307633949966814,100,3,6,42,2,39,1,2,5,0.86,0.49
a6b8c830-a645-4c6d-95fb-9c999f0e279f,0.7419603596355681,100,2,3,56,2,29,3,0,5,0.87,0.37
08ad645f-1a76-4d88-a2f8-a2ce0ad61281,0.7530102489170437,100,3,1,56,1,35,0,0,4,0.94,0.39
5bf289d6-cba5-4139-aadd-57fea2865274,0.7620920424258761,100,4,4,50,1,35,0,0,6,0.89,0.43
e71fe98a-e1e6-4f3f-8a43-4c92974e2d72,0.7637527622986355,100,1,1,54,1,33,2,4,4,0.92,0.37
e93f8b3a-aa63-4053-97e4-fc71485b1f9c,0.7734389999582343,100,1,1,52,1,33,2,4,6,0.9,0.37
2b1928ad-dc07-4aa1-ba0e-a18b0ffc1ce0,0.7807572359603046,100,0,4,53,1,37,1,0,4,0.9,0.42
