Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
6c66b7cf-a855-46ff-83f4-e83a2c584c3a,0.0008348730260766,100,6,1,2,29,6,4,45,7,0.41,0.83
ddf2ab45-ebd1-476a-9c0e-f609031b013f,0.0077862045762431,100,4,2,3,38,6,5,37,5,0.5,0.83
cf084d17-cf5e-4d70-a800-f52de3afd4fb,0.0298913380876775,100,6,2,3,33,4,4,42,6,0.45,0.84
e70918b0-3fc1-4861-9457-519e64ad1a24,0.032826181321947,100,1,2,3,33,3,8,45,5,0.48,0.86
e9e19629-d8e7-4c7b-920b-e54a3f16c688,0.0390357615618413,100,4,3,3,43,2,6,31,8,0.6,0.85
04b38009-85ae-4286-82eb-08564ad7d40c,0.0457896565854862,100,5,1,4,40,3,5,34,8,0.54,0.86
69389fc5-656f-46b9-b7ed-c8e5004cb7e5,0.0514948224423837,100,6,1,3,37,2,4,43,4,0.46,0.87
c0f9e918-e006-46ba-b7f7-0b5f954fa5c8,0.05614923512164,100,6,1,2,40,2,7,42,0,0.48,0.84
18a309db-cc5b-4f53-b4db-c0d232781fb5,0.0581823403511888,100,3,0,2,41,3,2,45,4,0.47,0.92
80f0d90c-4f72-41d2-9784-ae1a9e1ece51,0.0604743563066264,100,3,3,1,39,2,6,42,4,0.52,0.86
da89a849-708d-45e5-9465-9f812db52e6c,0.066003844069836,100,4,4,4,34,4,2,46,2,0.42,0.86
e929d59a-c636-4eb7-a9aa-9a021ed7b739,0.0895297138075773,100,4,2,0,45,4,1,38,6,0.54,0.89
6a1184a5-2273-45da-877d-420be565f6d7,0.0896996988047346,100,6,9,0,42,4,5,28,6,0.62,0.76
466e49c6-08db-42c6-a8a1-67091e79842b,0.0940331453091183,100,5,2,4,40,5,3,32,9,0.54,0.85
1bdeb62d-6b7f-490d-891b-a1e1d42771a8,0.0971046759099758,100,1,3,0,39,2,5,44,6,0.53,0.89
3956d2c9-8044-4175-98cc-6c427368d4d3,0.0994053509915447,100,4,1,5,46,1,2,33,8,0.57,0.92
de943bd5-e9fa-4552-97be-dfbc4d84a00a,0.1017060051941651,100,4,4,3,41,5,6,32,5,0.56,0.81
35215f25-83de-406c-b78a-b9635d2af7b0,0.1042031053582603,100,5,4,1,46,4,3,34,3,0.56,0.84
72201464-7f83-4260-8454-480a4ad43a59,0.1129455687555956,100,5,1,1,36,5,5,39,8,0.5,0.84
bbf12cfe-2854-44f0-84c6-cbcf438cb30a,0.1454004746772368,100,4,1,3,50,1,5,32,4,0.6,0.89
ac2be215-6401-444d-8d76-8251bfd7a596,0.1454877331233073,100,2,0,3,47,2,6,32,8,0.61,0.9
413ddaab-3b0e-42fd-86ec-ae8bd89adaca,0.1501682488423107,100,1,3,4,40,1,7,42,2,0.52,0.88
2ebaf8a8-b4e7-466a-995e-b2f9beafdcb8,0.1530908260994813,100,5,2,4,37,8,10,30,4,0.53,0.75
1e8e47da-eb77-4f6d-9700-cb3a7aae3a31,0.1598596682288825,100,6,2,3,42,2,1,35,9,0.54,0.89
12a7c6e5-d4eb-41eb-a42f-571f22500901,0.1633106113931123,100,5,2,0,53,5,2,27,6,0.63,0.86
561111a6-3609-43c5-a783-93338e8f8b88,0.1982832369305758,100,6,1,1,52,2,2,30,6,0.61,0.89
a3daaae8-960c-4024-850c-a73dc7d93c1b,0.2004880884322719,100,5,2,5,40,3,4,35,6,0.52,0.86
47032a5a-f2a1-41cd-92c6-59451fa4d8ef,0.2031407710536505,100,5,3,6,48,2,2,32,2,0.55,0.88
